Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,0.2,,,Vertical Scale,2
Vertical Position,2,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-1.8788e-02,0.390781,5.12266,,-1.8788e-02,-4.72969
-1.8784e-02,0.391219,5.125,,-1.8784e-02,-4.73344
-1.8780e-02,0.391781,5.12891,,-1.8780e-02,-4.73594
-1.8776e-02,0.392,5.12109,,-1.8776e-02,-4.73719
-1.8772e-02,0.392094,5.12344,,-1.8772e-02,-4.74094
-1.8768e-02,0.392281,5.12891,,-1.8768e-02,-4.7425
-1.8764e-02,0.392406,5.13359,,-1.8764e-02,-4.74688
-1.8760e-02,0.393344,5.13984,,-1.8760e-02,-4.74437
-1.8756e-02,0.393406,5.14687,,-1.8756e-02,-4.7475
-1.8752e-02,0.393719,5.14766,,-1.8752e-02,-4.75344
-1.8748e-02,0.394156,5.14922,,-1.8748e-02,-4.75875
-1.8744e-02,0.394437,5.14375,,-1.8744e-02,-4.755
-1.8740e-02,0.394719,5.14922,,-1.8740e-02,-4.76344
-1.8736e-02,0.394687,5.15781,,-1.8736e-02,-4.76281
-1.8732e-02,0.394312,5.15703,,-1.8732e-02,-4.76156
-1.8728e-02,0.395125,5.16016,,-1.8728e-02,-4.76625
-1.8724e-02,0.395344,5.15937,,-1.8724e-02,-4.77156
-1.8720e-02,0.395531,5.16016,,-1.8720e-02,-4.77188
-1.8716e-02,0.395531,5.16406,,-1.8716e-02,-4.77406
-1.8712e-02,0.395906,5.16562,,-1.8712e-02,-4.77781
-1.8708e-02,0.396656,5.17188,,-1.8708e-02,-4.78062
-1.8704e-02,0.397062,5.17734,,-1.8704e-02,-4.7875
-1.8700e-02,0.396813,5.17969,,-1.8700e-02,-4.79063
-1.8696e-02,0.397062,5.18359,,-1.8696e-02,-4.78656
-1.8692e-02,0.397469,5.18359,,-1.8692e-02,-4.79031
-1.8688e-02,0.397781,5.18437,,-1.8688e-02,-4.78969
-1.8684e-02,0.397969,5.18437,,-1.8684e-02,-4.79594
-1.8680e-02,0.398281,5.18984,,-1.8680e-02,-4.79344
-1.8676e-02,0.398094,5.19375,,-1.8676e-02,-4.79719
-1.8672e-02,0.398531,5.19844,,-1.8672e-02,-4.79531
-1.8668e-02,0.398594,5.19766,,-1.8668e-02,-4.79531
