Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,2,,,Vertical Scale,1
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-1.9092e-02,-1.36094,1.405,,-1.9092e-02,-2.77031
-1.9088e-02,-1.36031,1.40406,,-1.9088e-02,-2.77125
-1.9084e-02,-1.3575,1.405,,-1.9084e-02,-2.77125
-1.9080e-02,-1.3575,1.40781,,-1.9080e-02,-2.77406
-1.9076e-02,-1.36156,1.40781,,-1.9076e-02,-2.77062
-1.9072e-02,-1.35906,1.40656,,-1.9072e-02,-2.77563
-1.9068e-02,-1.35844,1.40469,,-1.9068e-02,-2.77
-1.9064e-02,-1.36,1.40312,,-1.9064e-02,-2.76906
-1.9060e-02,-1.36031,1.40469,,-1.9060e-02,-2.7675
-1.9056e-02,-1.36187,1.405,,-1.9056e-02,-2.77219
-1.9052e-02,-1.36156,1.40469,,-1.9052e-02,-2.76906
-1.9048e-02,-1.36031,1.40563,,-1.9048e-02,-2.76812
-1.9044e-02,-1.36,1.40625,,-1.9044e-02,-2.76688
-1.9040e-02,-1.35938,1.40656,,-1.9040e-02,-2.77
-1.9036e-02,-1.36187,1.40656,,-1.9036e-02,-2.76844
-1.9032e-02,-1.36406,1.40469,,-1.9032e-02,-2.76875
-1.9028e-02,-1.36156,1.40469,,-1.9028e-02,-2.7675
-1.9024e-02,-1.36406,1.40719,,-1.9024e-02,-2.76812
